ga:date,ga:segment,ga:transactionId,ga:campaign,ga:productName,ga:productBrand,ga:productCategoryLevel1,ga:productCategoryLevel2,ga:itemRevenue,ga:uniquePurchases,ga:itemQuantity,ga:viewId,ga:viewName,ga:weekNo
20210124,All Users,1010325581,(not set),CONVENIA 10 ML Injectable - 80mg Powder,Convenia,Petcare,Antibiotic,1019.25,1,3,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010325581,(not set),Sterile Water 10ml Convenia,(not set),Sterile Water 10ml Convenia,(not set),0.0,1,3,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010325654,(not set),Apoquel 16mg x 250bt x 1 US,Apoquel,Petcare,Dermatology,693.5,1,2,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010325687,(not set),CLAVAMOX CHEW 62.5 MG x 100 TAB,Clavamox,Petcare,Antibiotic,71.86,1,2,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010325687,(not set),Witness FeLV/FIV 25 Test Kit,WITNESS® Rapid Tests,Diagnostics,Rapid Tests,675.76,1,2,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010325818,(not set),Cytopoint 20mg 5 x 1ds,Cytopoint,Petcare,Dermatology,146.25,1,5,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010325861,(not set),Revolution 3pk Mauve 0-5 Pup/Kit Top Sol,Revolution-Canine,Petcare,Parasiticides,276.0,1,10,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010326047,(not set),Cytopoint 30mg 5 x 1ds,Cytopoint,Petcare,Dermatology,170.25,1,5,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010326047,(not set),Cytopoint 40mg 5 x 1ds,Cytopoint,Petcare,Dermatology,194.5,1,5,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010326091,(not set),Apoquel Tabs 16mg x 100 Tablets,Apoquel,Petcare,Dermatology,145.25,1,1,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010326091,(not set),Apoquel Tabs 5.4mg x 100 Tablets,Apoquel,Petcare,Dermatology,145.25,1,1,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010326091,(not set),Cytopoint 20mg 10 x 1ds,Cytopoint,Petcare,Dermatology,292.5,1,10,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010326091,(not set),Cytopoint 40mg 10 x 1ds,Cytopoint,Petcare,Dermatology,389.0,1,10,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,All Users,1010326091,(not set),Depo-Medrol 20mg 20ml Inj Suspension,Depo Medrol,Petcare,Steroid,61.05,1,1,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010325581,(not set),CONVENIA 10 ML Injectable - 80mg Powder,Convenia,Petcare,Antibiotic,1019.25,1,3,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010325581,(not set),Sterile Water 10ml Convenia,(not set),Sterile Water 10ml Convenia,(not set),0.0,1,3,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010325654,(not set),Apoquel 16mg x 250bt x 1 US,Apoquel,Petcare,Dermatology,693.5,1,2,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010325687,(not set),CLAVAMOX CHEW 62.5 MG x 100 TAB,Clavamox,Petcare,Antibiotic,71.86,1,2,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010325687,(not set),Witness FeLV/FIV 25 Test Kit,WITNESS® Rapid Tests,Diagnostics,Rapid Tests,675.76,1,2,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010325818,(not set),Cytopoint 20mg 5 x 1ds,Cytopoint,Petcare,Dermatology,146.25,1,5,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010325861,(not set),Revolution 3pk Mauve 0-5 Pup/Kit Top Sol,Revolution-Canine,Petcare,Parasiticides,276.0,1,10,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010326047,(not set),Cytopoint 30mg 5 x 1ds,Cytopoint,Petcare,Dermatology,170.25,1,5,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010326047,(not set),Cytopoint 40mg 5 x 1ds,Cytopoint,Petcare,Dermatology,194.5,1,5,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010326091,(not set),Apoquel Tabs 16mg x 100 Tablets,Apoquel,Petcare,Dermatology,145.25,1,1,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010326091,(not set),Apoquel Tabs 5.4mg x 100 Tablets,Apoquel,Petcare,Dermatology,145.25,1,1,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010326091,(not set),Cytopoint 20mg 10 x 1ds,Cytopoint,Petcare,Dermatology,292.5,1,10,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010326091,(not set),Cytopoint 40mg 10 x 1ds,Cytopoint,Petcare,Dermatology,389.0,1,10,183945438,E-com Hybris Production USA - Master View,2021-05
20210124,Dynamic Segment,1010326091,(not set),Depo-Medrol 20mg 20ml Inj Suspension,Depo Medrol,Petcare,Steroid,61.05,1,1,183945438,E-com Hybris Production USA - Master View,2021-05
